Symbol	Uniprot_ID	Norm.Ratio.1	Norm.Ratio.2	Norm.Ratio.3
Acox57D-d	Q9W2G8	0.5603663	0.3137102	0.4950811
Acox57D-p	Q7K0I0	2.141144	-0.3366099	0.1926992
Acph-1	Q8I0P9	0.8756455	0.483674	-0.1149724
Act42A	P02572	0.03159212	-0.1757942	-0.4438698
Act57B	P53501	1.017972	-0.9776108	-1.464425
Act5C	P10987	0.2631961		0.1534163
Act87E	P10981	1.135935	NaN	
Act88F	P83967			0.4491124
Actn	O77268			-0.00311961
Actn	P18091-1	-0.293135	-0.3399841	NaN
Actn	P18091-5			-0.1574797
Actr13E	P45890	NaN	NaN	
Ada	Q9VHH7		0.403813	
Ada1-1	Q8IGU1			NaN
Adam	Q7K550	-0.3377682	-0.6376703	-0.4351244
ade2	P35421	0.07679757	0.005184378	-0.07848754
ade3	P00967-1	-0.4218023	-0.184359	-0.231007
ade5	Q9I7S8	-0.4801617	-0.2846162	-0.2448219
Adf1	P05552-1			NaN
Adgf-A	Q9VVK5	0.9302979	-0.640164	
Adh	P00334	0.5021986	-0.314015	0.2278643
Adk2	Q9U915	0.2821229	0.08474465	-0.2337356
Adk3	Q9VGU6	-0.4089292	-1.33348	-1.232871
adp	Q7K7W5	1.535081		
aft	A1ZB00	0.2557701	-0.5704858	-0.1986426
ago	Q9VZF4	-3.082532	NaN	NaN
AGO1	Q27IR0	-0.8399596	-1.089574	-0.8613427
AGO2	Q9VUQ5-2	-0.389016	-0.4825126	-0.3479312
Ahcy13	Q27580	0.05478185	-0.1033949	0.1737671
AIF	Q9VQ79-2	-0.3307878	0.13711	0.103397
Ak6	Q7JYV7	-0.6650289	-1.034397	
Akap200	Q86BM5	-0.4089292	0.375957	-0.02199477
Akt1	Q8INB9-1	0.1943773	-0.1506733	0.07915612
Alas	O18680	-1.621337		NaN
alc	A1Z7Q8	1.483178	0.5461659	NaN
Ald	P07764-1	-0.2402533	0.06653696	0.2210727
Aldh	Q9VLC5	0.1109938	0.4139189	0.3859279
Aldh-III	A1Z6Z2	0.5009119	0.08188502	0.4042492
Alg-2	Q7PLT5	0.5827712	0.3467584	0.002018352
alien	Q94899	0.6347778	0.3220435	0.4228789
ALiX	Q9VB05	0.2428061	0.154972	0.4240621
alph	Q8IMK7	0.7019517	1.003962	0.8155754
alpha4GT1	Q6KCK5	NaN		
alpha-Adaptin	P91926-1	-0.01492663		-0.2468748
alpha-Adaptin	P91926-2		-0.5401488	
alpha-Cat	P35220	-0.3981315	-0.5211835	0.05963212
alphaCop	O77285	-0.2198345	-0.3309006	-0.1381081
alpha-Est1	Q24194	NaN	NaN	
alpha-Est10	Q9I7L5	NaN		
alpha-Est3	Q24196	1.015607		0.6406209
alpha-Est5	Q24198	-0.5222567	-0.1802501	-0.3448497
alpha-Est7	Q24201		NaN	
alpha-Est9	Q24203	-1.097476		
alpha-Man-I	P53624-1	NaN		
alpha-Spec	P13395	-0.1416943	-0.2765551	-0.1938657
alphaTub67C	P06606	0.6715771	0.154324	0.4708232
alphaTub84B	P06603			0.3338817
alphaTub85E	P06604			1.233336
alt	Q95R41	-0.1569143	0.1127669	-0.07696491
Aly	Q9V3E7	-1.506145	-2.004277	-1.978861
amd	P18486		NaN	NaN
Amph	Q7KLE5	0.932499	0.1795111	0.5641342
Amy-p	P08144		0.7131679	
ana2	Q9XZ31			-1.110106
ana3	A1Z8X3	NaN		
Ank	Q0KIE7	-0.9533771	-0.7077601	-1.057602
Ank2	A8JNM5	-0.1343524	0.1401242	
AnnIX	A4V371	0.4101981	0.1450905	
AnnIX	P22464-3			0.1768333
AnnX	P22465	0.3697063	0.3020558	0.06515872
anon1A3	O16040	-0.7927721	-0.4407529	-0.3260275
anon2A5	O16050	-0.1515991	-0.03941416	-0.5404006
anon-35F/36A	Q9NK57	0.03095819	0.1304037	0.1104968
anon-37B-2	Q8IA62	0.02139436	-0.03529823	0.1204847
anon-60Da	P91927	0.05347874	0.1798932	0.3215818
anon-66Db	P91616	0.1785673	-0.4426144	-0.4568011
anon-84Ea	O76206	-0.3569325	0.08854871	-0.4557323
anon-i1	Q24050	-0.1216786	-1.314625	0.3918777
Anp32a	Q9V895-2	0.3486659	0.5356548	0.6063475
Ant2	O62526	0.9518754		
Anxb11	Q9VXG4	0.4026834	-0.3210087	-0.818732
Aos1	Q7KJV5	0.901311	0.3876934	0.5530656
AP-1gamma	Q7KVR7	0.6015621	0.07806332	0.4185677
AP-1sigma	Q9GQM8	1.215245	0.04795711	0.2144979
AP-2sigma	Q9GQM7	-0.3436921		NaN
AP-47	O62531	1.011123	0.6277002	0.5310695
AP-50	O62530	0.2779188	-0.01737322	-0.4246683
Apc	P91667	-1.858379		
Apc2	Q961B0	0.0330528		
APC4	Q95R47	-0.1220763	0.3266523	0.2499914
APC7	Q8IRQ6	1.654535	1.179766	2.042364
ApepP	O96794	0.2301605	0.5130864	0.5752155
Aph-4	Q24238-1	NaN	2.239704	
aPKC	Q0E974	0.3954542	0.7903551	1.31458
Aprt	P12426	0.7881156	-0.07249789	-0.1313765
Aps	Q7JVG2	-0.9039637	0.04823624	NaN
aralar1	Q9VA73-2	0.5886171	0.0425042	0.3013536
Arc1	Q7K1U0	0.3344435	0.03308822	-0.2617596
Arc42	Q9VDT1	1.497975	0.7483754	1.388575
Arc-p20	Q9VMH2	0.658424	-0.3409888	-0.1196358
Arc-p34	Q9VIM5	0.4607866	-0.0605327	-0.2485192
Ard1	Q9VT75	0.2016259	-0.7865967	0.1277653
aret	O02374	-1.44143	-2.045848	
Arf102F	P40945	0.5336183	-0.7050059	0.3907777
Arf51F	A4UZH7	0.04859121	-1.01249	
Arf51F	P40946			-0.9861877
Arf72A	P25160	2.526992	-0.4268194	-0.3363183
Arf79F	A4V2B1	0.6188938	-0.5493456	
Arf79F	P61209			0.03435652
Arf84F	Q06849	2.422907	-0.2142067	0.4371211
arg	O46060	-2.072209	-1.6631	-1.422366
Argk	P48610-2	-0.3677065	-0.1108692	-0.5289686
ari-1	Q94981	0.6298134	-1.228706	-0.2166691
Arl8	Q9VHV5	NaN		0.1403861
arm	O46085	-1.139601	NaN	-1.076737
arm	O46087	-1.468114	-0.9915131	-1.208294
arm	O97419	1.694695	-1.91137	-0.004320131
arm	P18824-1	-0.8081791	-0.9973767	-0.6680655
armi	Q6J5K9-1	-1.293782	-0.8646491	-0.5299057
Arp11	Q9VWE8	0.7541636	-0.8403191	-0.2326503
Arp14D	A8JV17	0.02167253	-0.02988261	
Arp14D	P45888			-0.1610563
Arp66B	P32392	0.000649381	-0.1847033	-0.007855156
Arp8	Q9VX09	-0.2051422	0.01849174	-0.1023104
Arp87C	P45889	0.04666772	0.01364095	0.2407417
Arpc3A	Q8IND1	-0.3455099	0.4741504	0.09680152
ARP-like	Q9XZ63	-0.2742915	-0.1427993	-0.4855999
Art1	Q9VGW7	0.08396676	0.2697513	0.2171066
Art3	Q8INE8	-0.3688243	-0.1055663	-0.1495686
Art4	Q9VH48	3.056491	2.282262	1.809785
Art7	Q8MYV1	NaN	NaN	0.5163178
Art8	Q8SX32	-0.6318958	1.90639	0.3900073
As	Q9VTH1	NaN		
asf1	Q9V464	0.835677	1.109762	1.201885
ash2	Q8IMW1			0.01564032
asl	Q9VNE4		1.513945	
asp	Q9VC45	0.3230647	1.060393	2.538762
asparagine-synthetase	Q7KTW9	-0.3149864	-0.5669979	-1.046742
asrij	Q9W1X9		0.1973622	0.4425454
ast	Q9VPW1	-1.675816	NaN	NaN
Ate1	O96539-1	-0.08215749		
Ate1	O96539-5		0.4672795	0.5194413
Atg1	Q8MQJ7	-0.9522591		
Atg12	Q9VTU1	-1.072586		
Atg18	Q9VSF0	0.5661646	-0.184064	0.1502997
Atg4	Q9VPW2	-1.376568		-0.2265775
Atg5	Q9W3R7	1.046265		
Atg7	A1ZBA9	0.2911859	0.4733193	0.6064423
Atg8a	Q9W2S2			0.5220557
Atg9	Q2XY38	-2.826193	0.7794699	0.5939752
atl	Q9VC57	0.000346329	-0.3112199	-0.2244016
atms	Q9VN55	0.1803645	0.3750673	0.03097168
ATP7	Q9VYT4		NaN	
Atpalpha	P13607-1	0.3507064	0.4019581	0.4558598
Atpalpha	P13607-6			1.069771
ATPCL	A1ZA78			NaN
ATPCL	B7YZH5	0.1402689	-0.477201	-0.3257744
ATPsyn-b	Q94516-1	0.02563224	-0.03710311	0.07833651
ATPsyn-beta	Q05825	0.5921578	-0.3368467	0.1691554
ATPsyn-Cf6	Q24407	0.07233107	-0.1188522	
ATPsyn-d	Q24251	-0.1597583	0.24732	0.1557492
ATPsyn-gamma	O01666	0.5788871	-0.2125341	0.1838359
AttC	Q95NH6		0.3275724	
Atu	Q94546	0.04492527	0.6371001	
Atx2	Q8SWR8-1	-0.0359054	0.3422133	0.04963072
aub	O76922	-0.1504297	-0.2290949	-0.2042829
aur	Q27393	2.70228	2.40444	2.417542
Aut1	Q9VVS6	-1.440261	-0.6909635	NaN
aux	Q8T0A7	0.06792369	-0.6731176	NaN
awd	P08879	0.5355409	0.2184712	0.07409441
Axs	O97132	1.23304	0.5104556	
B52	P26686-1	0.0806981	-0.0211747	0.514299
baf	Q9VLU0	0.6122625	-0.05493174	1.303109
bai	Q8SXY6	-0.2770325	-0.4458925	-0.5494512
Baldspot	Q95T92	-1.688762	-0.7665045	-1.369445
ball	Q7KRY6	0.6502951	0.9877574	0.4747735
Bap	Q24253	0.06127011	0.07203723	0.3312466
Bap170	A1Z6M0		0.2826177	NaN
Bap55	Q7K012	1.486206	0.2390313	0.4595366
Bap60	O76490	0.6304162	0.1756843	0.1842168
barr	P91663	0.6333672	1.568762	1.079498
bbx	O61348	-1.769306		NaN
Bc	Q27598	-0.3918777		NaN
BcDNA.GH02220	Q9Y171	-0.2359721	0.3706107	0.008773791
BcDNA.GH02431	Q9Y166	0.2758212	-0.03519478	-0.7616533
BcDNA.GH02678	Q9Y162	0.6825802	0.565987	0.2720232
BcDNA.GH02901	Q9VXZ8	-0.08759864	0.3123167	0.2047668
BcDNA.GH03377	Q9Y153	0.9977223		-0.5131106
BcDNA.GH04637	Q7KK51	0.003365409	-0.1575279	0.09125975
BcDNA.GH04962	Q7KMM4	0.4509322	0.1724875	0.3350258
BcDNA.GH04978	Q9Y145	-0.4158668	-0.2536184	0.0278618
BcDNA.GH07269	Q9VKG4	-0.2613503		
BcDNA.GH07688	Q9Y128	1.251436	0.5539502	-0.01943355
BcDNA.GH07774	Q7KMK9	0.03219688	0.02644594	0.1828194
BcDNA.GH07921	Q7KMK8	0.3185778	-2.226881	-1.875831
BcDNA.GH08385	Q9Y124	-1.025454	0.7946861	1.168
BcDNA.GH10614	Q9Y112	0.8737143	0.1480882	0.5236623
BcDNA.GH11023	Q9Y109	-1.267536	-0.2397705	-0.4862263
BcDNA.GH11973	Q9Y102	NaN	NaN	
BcDNA.GH12326	Q9V3S7			NaN
BcDNA.LD23371	Q7KMI3			NaN
BcDNA.LD23587	Q9V415	-1.249931	-0.6031829	-1.333407
BcDNA.LD23634	Q9V3Y5	-0.3727293	-0.1525963	-0.3276199
BcDNA.LD23876	Q9Y0Z1	-3.100456		
BcDNA.LD26050	Q7KMH9	-0.3033423	0.3588463	0.3914378
BcDNA.LD27873	Q9V3H9	-1.341701	-3.268122	
BcDNA.LD29892	Q7KMH5	-0.1234014	0.4633086	0.2387868
BcDNA.LD34475	Q9U4F8	-0.2885358	-0.515501	-0.1837198
BcDNA:GH03108	Q9W0X8	-1.017138	-0.1164887	
BcDNA:GH03163	Q7YU85	-0.8494389	-1.990911	-1.071937
BcDNA:GH04929	Q8SZP3	0.832642	-0.2028541	NaN
BcDNA:GH06032	Q8MSI5	-0.7037209	-0.6693957	-0.6712784
BcDNA:LD22910	Q8I077	0.01556381	1.190109	NaN
bcn92	O46096	0.05949498		NaN
bcn92	O46098	1.143245	0.1638852	0.05491792
bel	Q9VHP0	-0.2833292	-0.6940178	-0.2411511
Bem46	O76461		NaN	
ben	P35128	0.543341	0.3060289	0.688046
BEST:CK01296	Q9VL69	0.3515714	-0.6182737	-0.6240876
BEST:CK01510	Q8MKK5	0.4273237		
BEST:CK02656	Q86P66	0.3667641	1.189856	0.1357976
BEST:LD13441	Q6NR30			NaN
BEST:LD13681	Q8IGW4	-1.080794		-0.7614088
BEST:LD25345	Q9VJ45	1.061782	1.537892	1.049282
BEST:LD30049	Q9W047	-0.1467856		NaN
Best2	Q7YU35	0.7882901	0.08338356	NaN
beta4GalT7	Q8I6J0	0.3191356		-0.4466985
betaCop	O62621	0.0997263	-0.05255078	-0.08935946
betaCop	P45437	0.01318865	-0.07002721	-0.07927988
betaggt-I	Q24172			0.1125
betaggt-II	Q9XZ68	0.5736171		-0.005796869
beta-Spec	Q00963	-0.3615439	-0.6225985	-0.8412493
betaTub56D	Q24560	0.3887899	0.1540647	0.4713435
betaTub60D	P08841	-0.9522591	-2.13841	-1.610874
betaTub85D	P61857	NaN	NaN	0.2986583
betaTub97EF	Q8MST5	-0.7023029	0.09274875	-0.5682808
BG:DS00797.1	Q9V3N6	0.8320256	0.1176951	0.3212354
BG:DS00929.2	Q7K028	1.018469	0.4946716	0.503654
BG:DS01068.6	Q9V3P2	-2.736085	-3.255942	NaN
BG:DS02740.2	Q9VJL9			NaN
BG:DS07295.3	Q9Y118	-0.182438	0.7265697	0.4958998
BG:DS07473.2	Q9V3V9	0.2901095	0.2667565	0.4354153
BG:DS09217.4	Q9V3K7	0.4030076	-0.5133783	0.3893466
BG4	Q9V3B4	-0.1099623	-1.346298	
bgm	Q9V3S9	0.02318183	-0.4960407	-0.5587716
bic	Q7KM15	-0.6591939	-0.5330962	-0.3875248
BicC	Q24009	-0.3626662	-1.168836	-0.828204
BicD	P16568	-0.003889986	0.553852	0.2542312
bif	O16125	-0.8799409	-0.9292536	NaN
Bin1	Q9VEX9	-1.459274		-0.1439944
bin3	Q7K480	NaN	-3.290815	
Bj1	P25171	-2.016247	-0.7295309	-1.577121
Bka	Q9VL75	-2.98823	-3.526344	NaN
bl	A1ZBW0	-0.1890338	0.03167748	0.1932041
blp	Q9VF08	0.847544	0.08963377	0.04012096
blue	Q8T9F2		-0.08176648	
blw	P35381	0.06503824	-0.02991202	0.1701815
Bmcp	Q7K566	0.2273035		0.06887715
bmm	Q9VUH7			NaN
bnb	P29746	0.7967111	-0.03098771	
boca	A1Z712	-0.07464243	-0.03469226	-0.5698218
boca	Q95RV5	-0.3670355	0.5692967	0.01849174
bocksbeutel	Q709R6	0.5742185	0.5271705	0.3080114
boi	A8JUV7	0.04039304		0.3848234
bon	Q9U3Y7	-0.06198353	-0.8623915	0.6621143
bonsai	Q8WTC1	-0.1297446	0.3578334	0.2669964
bor	Q7KJ37	-0.549127	-0.2520712	-0.3326074
borr	Q9VLD6-2	-0.8529577	0.3327366	0.1123665
br	Q24206-1			NaN
brat	Q8MQJ9	NaN	2.347297	1.735609
Brd8	Q2XY62		0.2056428	0.1473066
Bre1	Q9VRP9	0.3771071	0.3842709	0.227125
brm	P25439-1	0.3928757	-0.5016266	0.6265793
brp	A8DY79	-1.454071		
bru-2	Q0E8R3	-0.2436691		
Bruce	Q8MS47		1.202762	NaN
BRWD3	Q8SX63	1.872235	0.7453664	0.4753962
bs	Q24535	-0.7840014	0.1770886	
bsf	Q95NR4	-0.2924284	-0.1608305	-0.2026051
Bsg	Q7KTJ7	-0.09356022	0.0353423	0.1356662
bsk	P92208	0.4573358	1.233213	NaN
BthD	Q9VYB0	0.03534264	-0.05213187	
Btk29A	P08630-1	-2.556479	-1.915283	
btz	Q7KRX5	-0.3425547	-0.8201577	-0.3066446
Bub3	O76523	1.242294	1.017281	0.7518064
BubR1	A1Z6I7	0.5094914	0.8477564	1.006119
bun	Q24523-1		-0.03318566	
bur	Q8MSU9	-0.06515872	-0.341263	-0.2720534
Bx42	P39736	-0.04096256	0.1361914	-0.09214021
bys	P51406	-0.9337992	-2.124943	-1.804501
Bzd	Q8MRV6		-3.307858	NaN
c11.1	Q9NHY0	0.2347199	0.3434647	0.1934563
c12.1	Q9V3B6	2.035106	-0.2742501	0.3355975
c12.2	Q9NHX8	0.6095964	0.1514692	0.1164979
c550	O77134	0.3893944	0.1082234	-0.325901
ca	Q8T9D9	-0.007769512		0.4467856
CaBP1	Q9V438	-0.09774555	-0.2275907	-0.009931016
cact	Q03017-1	1.251127	1.169091	1.295076
cactin	Q8MRC3	0.8942414		
Cad74A	Q8IGX4	-1.276199	-1.773936	-1.624955
Cad87A	Q9VGG5	-2.020449	-1.871232	-2.615641
Cad99C	Q4L2X0	-0.2349918		
Caf1	Q24572	0.2651539	0.6674834	0.6981296
Caf1-105	A1Z898	0.2119157	0.9465063	0.4605853
CAH2	Q9VTU8	NaN	1.573908	2.035624
Caki	Q24210-3	1.552622	NaN	NaN
CalpA	A8DYJ3	-0.476952	-0.05220667	
CalpA	Q11002-1			-0.4266061
CalpB	Q9VT65	0.3546119		0.06805168
Calx	O18367	0.5218462	0.5271705	0.9723986
Cam	P62152	0.7508581	0.458592	-0.336956
CaMKI	Q0KIF7	0.2577351	-0.5069881	0.3483458
CaMKII	Q00168-1	0.3860158	0.3822799	
CaMKII	Q00168-3			0.4653999
cana	Q9NCF9	1.043468	1.49334	1.23952
CanA1	P48456	3.924848	0.2621926	0.3746222
CanA-14F	Q9VXF1	-0.4112093	-0.03742881	0.3994446
CanB2	Q24214	-0.006046604	0.03054793	
Cap	Q24098	-0.2532632	0.4023947	0.07710631
Ca-P60A	P22700-1	0.05178794	-0.01502428	0.111165
CAP-D2	Q9VAJ1	0.6550807	0.6559014	0.6858953
capt	Q7KN55	0.3806715	0.3151024	0.516822
car	A4V4S5	0.7285982	-0.8932765	
car	Q9Y1I2			-0.1768865
Cas	Q9XZU1	0.8244946	0.9653965	1.115433
casp	Q7JUP3	0.5446452	0.4063189	0.4670708
Cat	P17336	0.2359087	0.4293214	0.6115501
cathD	Q7K485	0.5854964	-0.3166719	0.4426516
Catsup	Q9V3A4	-0.227125	0.6486495	NaN
caz	Q27294-1	-0.859254	-0.380972	-0.231786
Cbl	O46034			-0.2904446
CBP	O96676	1.404649	1.379233	1.188211
Cbp20	Q9V3L6	1.5661		0.1553607
Cbp80	Q7K4N3	-0.1523782	-0.1040305	-0.03787305
cbx	Q7JRK3	-0.7184384		-0.9757938
Cchl	Q9VD55	0.4805587	-0.5917228	-0.6944847
CCS	A1Z850	1.03289	0.4170558	-0.01180611
Cct1	Q7K4C7	-1.183455	-1.271183	-0.9905382
Cct5	A1Z8U4	0.2659343	0.1826923	0.2677155
Cctgamma	A4V303	0.2443604	0.1531568	
Cctgamma	P48605			0.2311866
cdc16	O96679	0.3383963	-0.09784149	0.258338
cdc2	P23572	0.9160447	0.8830734	0.8709762
cdc23	Q9I7L8	0.4483511		0.2519311
Cdc27	Q24021	0.5884652	0.7920224	0.458697
cdc2c	P23573	-0.08147596	-0.05689634	-0.05880352
cdc2rk	A1Z840	-1.19415		-0.272367
Cdc37	Q24276	0.2652232	-0.0621133	0.4091466
Cdc42	P40793	-1.795351	-1.923687	-0.9627443
CDC45L	O96989	-5.861012	0.8632249	2.672584
Cdep	Q2M1E6			NaN
Cdk5	P48609	0.7666273	0.7635816	0.7495772
Cdk7	Q24216	0.4648229	0.8377011	0.7667224
Cdk8	Q9VT57	-0.1156992	1.689299	
Cdk9	O17432	-0.04628156		-0.2990631
cdm	Q9VEC5	0.4113105		
Ced-12	Q8MS15	-0.2910141	0.1991226	-0.330556
ced-6	Q7JUY7	-0.1289532	0.09071802	0.4312485
cenB1A	Q7KS50	0.9302703	0.2928995	NaN
cer	A1ZBK7	0.9102036		NaN
cg	A8DYD2	-1.969307		
cg	B7YZE6		-1.276695	-1.609905
CG10031	Q9VQU0	-0.3360548	-0.3808218	NaN
CG10038	Q95RN0-1	-0.08705537	0.7518921	0.1760674
CG10050	Q9VI85	-0.1012467	0.7801421	NaN
CG10055	Q9VI74	-1.457227	-0.8791969	-1.674706
CG10057	Q9VBX5	-1.670115	1.399663	-0.3196396
CG10075	Q9VRZ7	0.06191751	0.2613503	0.4004287
CG10080	Q9W2F2	-0.3594087	-0.32357	-0.4573556
CG10083	Q9VU84	0.3056636		0.6828429
CG10092	Q8SXK2	0.01934587	1.08943	-0.5472991
CG10098	Q9VI64	0.06241452	-0.7147281	-0.4650021
CG10101	Q9VIA5			NaN
CG10103	Q9VRY6	0.6051128	0.6833821	0.6618408
CG10107	Q8MR14		-0.528053	-0.71724
CG10144	Q9VRX2	-0.07915612		NaN
CG10153	Q7K2Q8	-0.01120934	0.1292171	-0.1203569
CG10157	Q9VCK1	NaN		-0.08367622
CG10158	Q9VM65	-0.4127274	0.04600206	-0.3243105
CG10163	Q9VRW5	-1.587029		
CG10166	Q9VIU7	-0.4659222	-0.5135224	0.038998
CG1017	Q9W062	0.2066617	0.444243	
CG10184	Q9VCK6	-0.591488	-0.8068464	-0.577358
CG10188	Q8MQR4		0.415975	
CG10189	Q9VIV3		0.1048734	
CG10191	Q9VU65	-0.131326	0.3894567	2.668981
CG10194	Q9VIV6	0.5800512	0.06267433	NaN
CG10208	Q9VCH7	0.2013771		
CG10214	Q9VCI0			-0.8316404
CG10217-RA	Q9VCI4	-0.2066433	0.01006364	NaN
CG10220	Q8MSW9	-0.8496791	-1.054272	-0.997924
CG10222	Q9VU67		0.0729976	NaN
CG10225	Q9VCI7	-0.393526	0.1858666	0.06364096
CG10237	Q8INW5	0.6796193	-0.5920273	-0.3873173
CG10238	Q9VBX2			NaN
CG10251	Q9VCJ5	1.258322		
CG10254	Q9XZ32	0.4225011	0.7101728	0.7093789
CG10263	Q8INV9		-0.04064528	NaN
CG10265-RB	Q7K2K2	-0.1567849		0.343351
CG10268	Q9VIT2	NaN	0.6497534	NaN
CG10277	Q8T089	1.262538		
CG10286	Q9VI15	-0.6537938	-0.6391525	-0.685872
CG10289	Q95R81	0.5263689	-0.1727501	0.05672221
CG10306	Q9W2D9	-0.09545191	-0.4680921	-0.3708066
CG10320	Q9W2E8	-0.01749438	0.1476974	0.111165
CG10321	Q2XY74			NaN
CG10323	Q9V4B8	-1.235176		
CG10324	Q8SZD8	0.2822808		
CG10326	Q9VES1	-0.5155106	0.6983073	0.8221999
CG10333	Q95SF2	0.3938611	-0.1671504	0.002018352
CG10336	Q8INX3-1	-0.2479275	0.2436691	
CG10341	A8DZ16	0.3684207	0.04376442	
CG10343	Q9VJ60	-0.1871343	0.1624679	-0.2552361
CG10347	Q9VYT5	-0.3057954	-0.2316167	-0.1597342
CG10354	Q9VM71	-0.5969352	-1.188595	-0.4670548
CG10373	Q9VJ59	-0.3469853	-0.1422737	0.1921942
CG10375	Q9VCH9	-0.3587338	0.8381047	
CG10376	Q9VJ61	0.1622344		
CG10399	Q9VM58	-0.6739182	0.05977056	-0.02025263
CG10407	Q9VEZ6	0.05511157	-0.3152711	-0.3097885
CG1041	Q9VI16	-0.13711	-0.468132	-0.2902506
CG10413	Q9VJ75	NaN		
CG10417	Q7K4Q5	-0.6133431	-0.2083943	-0.3824947
CG10419	Q7K0M0	2.207561		
CG10420	Q9VBV5	-0.2402533	0.6263924	0.2806
CG10424	Q9VVW8	0.1328152		0.3756233
CG10425	Q9VBU5	-2.520246	0.2834477	
CG10428	Q9VJ34	-0.2701102		0.2838032
CG10438	Q8SYJ9	-0.1125	-0.3742993	
CG10444	Q8SWV5			-0.003495565
CG10463	Q8MRT5	0.8609235	-0.4379749	0.01464098
CG10466	Q9VIS0	0.3556823	0.3345683	
CG10467	Q8MT28	0.03879162	0.27453	-0.1110717
CG10487	Q9VRQ9	1.351516	1.998737	1.610936
CG10495	Q9VJ06		-0.08886836	
CG10496	Q9W2G5	NaN		
CG10512	Q8IPT9	-2.89408		
CG10527	Q8MR08	0.8973016	-0.06422346	0.279293
CG10535	Q9VGK7	-0.2205776	-0.3054318	-0.3021016
CG10555	Q5U0Y6	NaN		
CG10565	Q9VP77	-0.2930173	-0.1658228	-0.2490163
CG10575	Q9VRP4	0.1361725	-0.7548695	-0.782521
CG10576	Q5U0Z2	0.02262477	-0.2732036	-0.1016756
CG10581	Q9VP84	-0.7426962		
CG10585	Q9VP87	-0.49774	-0.2766774	-0.38336
CG10590	Q9VRN1	-0.09166604	0.9113464	NaN
CG10600	B7YZX6			NaN
CG10602	Q7KT44	0.2455743	0.3220435	0.497638
CG10616	Q9VTX8	-0.3857071	0.1807844	-0.1478413
CG10627	Q9VTZ4	-0.604451	0.5025343	-0.09944805
CG10628	Q9I7M2	0.5864708	0.7027462	0.6655747
CG10632	B7Z0B0	NaN		NaN
CG10634	Q8IGW2	1.000346	-0.2407078	-0.2089944
CG10635	Q9VRL3	-0.06626152	-0.1598309	-0.4134802
CG10638	Q8IQH2	0.07937128	0.3299846	0.5406225
CG10639	Q95SY9	-0.06004741	0.5474499	NaN
CG10641	Q9VJ26	0.7872189	1.950618	1.442174
CG10646	Q9VTY5	0.9071431	-0.6098166	NaN
CG10664	Q9VIQ8	0.368458	-0.6416938	0.02970023
CG10671	Q9VRJ2-2	0.2241656		
