Accession	log2FC	t.ord	t.mod	p.ord	p.mod	q.ord	q.mod	sig	comparison	Description	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways
A0A0B4K602	0.388379702785926	4.53600072757471	3.68245645520998	0.00394994816860215	0.000645406799419732	0.0418482538899699	0.00473974235499084	YES	Egg_WT - Oocyte_WT	TBP-associated factor 1, isoform E OS=Drosophila melanogaster GN=Taf1 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process	nucleus	catalytic activity;DNA binding;enzyme regulator activity;protein binding;receptor activity;signal transducer activity	Pf00439, Pf09247, Pf12157, Pf15288	40813	FBgn0010355	Taf1	3R	
A0A0B4K615	0.284691687375191	1.96411619992896	2.49230218941905	0.0971392792821587	0.0166589566480693	0.16189352648689	0.0510584671598869	NO	Egg_WT - Oocyte_WT	CG43427, isoform O OS=Drosophila melanogaster GN=CG43427 PE=1 SV=1			metal ion binding	Pf00412	40583	FBgn0263346	CG43427	3R	
A0A0B4K618	0.0421511782152013	0.420590771349961	0.392974151228137	0.688701796068265	0.696296420580239	0.432492553466815	0.45927408903446	NO	Egg_WT - Oocyte_WT	Fmr1, isoform G OS=Drosophila melanogaster GN=Fmr1 PE=1 SV=1	cell communication;cell organization and biogenesis;cell proliferation;cellular component movement;regulation of biological process;response to stimulus;transport	cytoplasm;nucleus	protein binding;RNA binding;translation regulator activity	Pf00013, Pf13014	37528	FBgn0028734	Fmr1	3R	
A0A0B4K620	-0.209828343504519	-2.63604286868726	-2.002145478358	0.0387449995895804	0.0516559658162926	0.112771533660901	0.105533846455648	NO	Egg_WT - Oocyte_WT	Mustard, isoform V OS=Drosophila melanogaster GN=mtd PE=1 SV=1	defense response;regulation of biological process;response to stimulus	cytoplasm;nucleus		Pf01476, Pf07534	45467	FBgn0013576	l(3)82Fd; mtd	3R	
A0A0B4K661	-0.421604184607864	-3.53951080070356	-3.83462416802789	0.0122261348402403	0.00040917148673392	0.0730819460256439	0.0034473707236681	YES	Egg_WT - Oocyte_WT	Tropomyosin 1, isoform Q OS=Drosophila melanogaster GN=Tm1 PE=1 SV=1	cell organization and biogenesis;regulation of biological process;response to stimulus	cytoskeleton;cytosol;endoplasmic reticulum	protein binding;structural molecule activity	Pf00261	41852	FBgn0003721	Tm1	3R	
A0A0B4K691	-0.140192907400026	-1.05387980878052	-1.24983815994116	0.332516141145438	0.218175199798225	0.290358620765544	0.241282013339964	NO	Egg_WT - Oocyte_WT	Ripped pocket, isoform B OS=Drosophila melanogaster GN=rpk PE=3 SV=1	response to stimulus;transport	membrane	transporter activity	Pf00858	40580	FBgn0022981	rpk	3R	
A0A0B4K692	-0.156605989815358	-1.0846987734882	-1.37220871098487	0.319704126159691	0.177174479893037	0.283823128898453	0.214493348413305	NO	Egg_WT - Oocyte_WT	Neprilysin 2, isoform B OS=Drosophila melanogaster GN=Nep2 PE=1 SV=1	metabolic process	extracellular;membrane	catalytic activity;metal ion binding	Pf01431, Pf05649	40588	FBgn0027570	Nep2	3R	
A0A0B4K6C3	0.0471101068563851	0.45457991015812	0.437347965532974	0.665394213091253	0.664066191990215	0.424701151039868	0.449888966340052	NO	Egg_WT - Oocyte_WT	CG9603, isoform B OS=Drosophila melanogaster GN=COX7A PE=1 SV=1	metabolic process;transport	mitochondrion	catalytic activity;transporter activity	Pf02238	50002	FBgn0040529	CG9603; COX7A	3R	
A0A0B4K6D2	0.0724685263190281	1.00001050389915	0.696336575879929	0.355912996045962	0.489996670355756	0.300437565825593	0.378124831820357	NO	Egg_WT - Oocyte_WT	CG16817, isoform B OS=Drosophila melanogaster GN=CG16817 PE=1 SV=1	cell organization and biogenesis	endoplasmic reticulum;membrane;nucleus		Pf04969	41173	FBgn0037728	CG16817	3R	Arachidonic acid metabolism; Metabolic pathways
A0A0B4K6D5	-0.44495569632319	-2.43591689150178	-3.65913436952308	0.0507525405833834	0.000691643681377098	0.124474502239575	0.00499492334308645	YES	Egg_WT - Oocyte_WT	Molecule interacting with CasL, isoform L OS=Drosophila melanogaster GN=Mical PE=4 SV=1	cell organization and biogenesis;cellular component movement;metabolic process	cytosol;membrane	catalytic activity;metal ion binding;nucleotide binding;protein binding	Pf00070, Pf00307, Pf00412, Pf00890, Pf01262, Pf01266, Pf01494, Pf03486, Pf07992, Pf11971, Pf12130, Pf13450	41225	FBgn0053208	Mical	3R	
A0A0B4K6G3	0.25598504806656	2.46028273589714	2.37521032326945	0.0491006298348245	0.0221081161606801	0.122381832445109	0.0620902897443966	NO	Egg_WT - Oocyte_WT	Protein partner of snf, isoform B OS=Drosophila melanogaster GN=pps PE=1 SV=1	metabolic process;regulation of biological process		catalytic activity;metal ion binding;protein binding	Pf00628, Pf07500, Pf07533, Pf07744	41524	FBgn0082831	pps	3R	
A0A0B4K6I1	NA	NA	NA	NA	NA	NA	NA	NA	Egg_WT - Oocyte_WT	Scribbled, isoform N OS=Drosophila melanogaster GN=scrib PE=1 SV=1	cell differentiation;cell organization and biogenesis;cell proliferation;regulation of biological process;response to stimulus	membrane	protein binding	Pf00595, Pf12799, Pf13180, Pf13855, Pf14580	44448	FBgn0263289	scrib	3R	
A0A0B4K6I5	0.132388926740587	1.23942770326554	1.22407878194628	0.261465801825939	0.227643095059109	0.256508409737845	0.247297828246569	NO	Egg_WT - Oocyte_WT	Spartin, isoform B OS=Drosophila melanogaster GN=spartin PE=4 SV=1	cell communication;development;regulation of biological process	endosome;membrane	protein binding	Pf06911	40582	FBgn0037265	CG12001; spartin	3R	Endocytosis
A0A0B4K6K7	0.349541605025758	3.19389973298307	3.22090796705882	0.018743800294826	0.00244758846558728	0.0830594235130583	0.0127589593065179	NO	Egg_WT - Oocyte_WT	CG1104, isoform C OS=Drosophila melanogaster GN=CG1104 PE=4 SV=1			catalytic activity	Pf09743	40843	FBgn0037467	CG1104; Ufl1	3R	
A0A0B4K6N1	0.0415987061506602	0.501726949803304	0.395566414222531	0.633734633517343	0.694397141288607	0.413083916068948	0.458984790376882	NO	Egg_WT - Oocyte_WT	40S ribosomal protein S8 OS=Drosophila melanogaster GN=RpS8 PE=3 SV=1	metabolic process	ribosome	structural molecule activity	Pf01201	43532	FBgn0039713	RpS8	3R	Ribosome
A0A0B4K6N4	-0.515873932031081	-6.34741523601155	-4.91391307635757	0.00071644420763592	1.3643706635487e-05	0.0173874580722105	0.000207400235232555	YES	Egg_WT - Oocyte_WT	Tropomodulin, isoform N OS=Drosophila melanogaster GN=tmod PE=1 SV=1	cell organization and biogenesis;regulation of biological process	cytoskeleton	protein binding	Pf03250	43633	FBgn0082582	tmod	3R	
A0A0B4K6R7	0.1802261115085	2.50307614261122	1.7325168484924	0.04633502153489	0.0904099992630095	0.119422490583194	0.146664355026414	NO	Egg_WT - Oocyte_WT	Na/Ca-exchange protein, isoform D OS=Drosophila melanogaster GN=Calx PE=1 SV=1	cell communication;regulation of biological process;response to stimulus;transport	membrane	metal ion binding;transporter activity	Pf01699, Pf03160	42481	FBgn0013995	Calx	3R	
A0A0B4K6V8	0.154763367753104	1.5975282185373	1.44870177471464	0.16126241700394	0.154735326406434	0.203380668268144	0.199028688002798	NO	Egg_WT - Oocyte_WT	Alpha-Esterase-5, isoform B OS=Drosophila melanogaster GN=alpha-Est5 PE=1 SV=1	metabolic process		catalytic activity	Pf00135, Pf07859	40905	FBgn0261393	alpha-Est5	3R	
A0A0B4K6W1	0.445104665076176	3.7813804617222	4.05622645663273	0.00916550450168935	0.000208099362480337	0.0655582174691208	0.00204687530050538	YES	Egg_WT - Oocyte_WT	Suppressor of hairy wing, isoform C OS=Drosophila melanogaster GN=su(Hw) PE=4 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	DNA binding;metal ion binding;protein binding	Pf00096, Pf13465	41740	FBgn0003567	su(Hw)	3R	
A0A0B4K6W9	0.238934826533344	2.41660274330843	2.23124364777751	0.0521034464102558	0.0309767523615872	0.126450389328344	0.0770569959982731	NO	Egg_WT - Oocyte_WT	Hephaestus, isoform Y OS=Drosophila melanogaster GN=heph PE=1 SV=1	metabolic process;regulation of biological process	cytoplasm;cytosol;nucleus	protein binding;RNA binding;translation regulator activity	Pf00076, Pf13893, Pf14259	48571	FBgn0011224	heph	3R	
A0A0B4K6X9	-0.286694405972698	-1.14469576388355	-2.08438222871685	0.295935807161721	0.0431517439802383	0.274515688603586	0.0945327305569971	NO	Egg_WT - Oocyte_WT	Mob4, isoform B OS=Drosophila melanogaster GN=Mob4 PE=4 SV=1	cell organization and biogenesis;cellular component movement;regulation of biological process;transport	cytosol	protein binding	Pf03637	35576	FBgn0259483	Mob4	2R	
A0A0B4K725	0.00939686052137745	0.132788397371687	0.0904360187306388	0.89870217879369	0.928364226571033	0.500325370158217	0.530303852677503	NO	Egg_WT - Oocyte_WT	Multiple ankyrin repeats single KH domain, isoform C OS=Drosophila melanogaster GN=mask PE=4 SV=1	cell differentiation;cell organization and biogenesis;regulation of biological process;response to stimulus	cytoplasm;cytosol	protein binding;RNA binding	Pf00013, Pf00023, Pf11498, Pf12796, Pf13014, Pf13606, Pf13637, Pf13857	50070	FBgn0043884	mask	3R	
A0A0B4K726	0.104404924299002	1.03935412782632	0.973086036052361	0.338698758689888	0.335998640182973	0.293198915542487	0.309824289935785	NO	Egg_WT - Oocyte_WT	TFB1 ortholog, isoform D OS=Drosophila melanogaster GN=Tfb1 PE=4 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity	Pf03909, Pf08567	36598	FBgn0033929	Tfb1	2R	Basal transcription factors; Nucleotide excision repair
A0A0B4K765	-0.0440498748919431	-0.455485881287147	-0.412422299777845	0.664778370377587	0.68209619755424	0.424567751589176	0.453961228274248	NO	Egg_WT - Oocyte_WT	Sin3A, isoform G OS=Drosophila melanogaster GN=Sin3A PE=1 SV=1	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process	chromosome;nucleus	catalytic activity;protein binding	Pf02671, Pf08295	36382	FBgn0022764	Sin3A	2R	
A0A0B4K774	0.131168423118643	1.05578851586629	1.18445393786371	0.331710616310151	0.24279372237173	0.289919361777224	0.254629318276479	NO	Egg_WT - Oocyte_WT	Abelson interacting protein, isoform D OS=Drosophila melanogaster GN=Abi PE=1 SV=1	cell growth;cell organization and biogenesis;cellular component movement;regulation of biological process;transport	cytoplasm	protein binding	Pf00018, Pf07653, Pf07815, Pf14604	41718	FBgn0020510	Abi	3R	
A0A0B4K7D1	0.123331115720928	2.37386748124645	1.20521689705745	0.0552283666438007	0.234765745630586	0.128680349122911	0.250467625554168	NO	Egg_WT - Oocyte_WT	Unkempt, isoform D OS=Drosophila melanogaster GN=unk PE=4 SV=1	cell differentiation;regulation of biological process	cytoplasm	DNA binding;metal ion binding	Pf00642, Pf13920	42738	FBgn0004395	unk	3R	
A0A0B4K7G1	0.0874633881516527	0.950500116995131	0.823395067483098	0.378557837659207	0.414864969884529	0.312004514409369	0.344337384727209	NO	Egg_WT - Oocyte_WT	CG5174, isoform N OS=Drosophila melanogaster GN=CG5174 PE=1 SV=1				Pf04201	37117	FBgn0034345	CG5174	2R	
A0A0B4K7G4	-0.675876304350176	-3.908571115512	-5.65208090818008	0.00790541162636047	1.19970950702656e-06	0.0634897085699964	2.58206776556865e-05	YES	Egg_WT - Oocyte_WT	Modulo, isoform C OS=Drosophila melanogaster GN=mod PE=1 SV=1	cell proliferation	cytoplasm;nucleus	DNA binding;protein binding;RNA binding	Pf00076, Pf13893, Pf14259	43764	FBgn0002780	mod	3R	
A0A0B4K7J2	0.109341326400662	1.62228127597249	1.05551196127671	0.155869720323856	0.2971352287782	0.200445083100967	0.289512609958856	NO	Egg_WT - Oocyte_WT	Nucleoporin 358kD, isoform B OS=Drosophila melanogaster GN=Nup358 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;nucleus	enzyme regulator activity;metal ion binding;protein binding	Pf00638, Pf00641, Pf13414, Pf13424, Pf13432	43041	FBgn0039302	Nup358	3R	RNA transport
A0A0B4K7K6	0.0108306420226132	0.154003678274196	0.104276879785742	0.882656248237377	0.917438573570709	0.496156656003601	0.527591883320413	NO	Egg_WT - Oocyte_WT	CG6073, isoform B OS=Drosophila melanogaster GN=CG6073 PE=4 SV=1				Pf04063, Pf04064	43180	FBgn0039417	CG6073	3R	
A0A0B4K7L1	0.145476478285321	1.93291258056711	1.3941219662384	0.101433760334215	0.170503431843239	0.164816651564066	0.21138791884449	NO	Egg_WT - Oocyte_WT	ATP-dependent 6-phosphofructokinase OS=Drosophila melanogaster GN=Pfk PE=1 SV=1	metabolic process;response to stimulus	cytoplasm	catalytic activity;metal ion binding;nucleotide binding	Pf00365	36060	FBgn0003071	Pfk	2R	
A0A0B4K7R8	-1.26115819851565	-3.88970742720059	-7.99480455867999	0.00807946484225112	5.1149584363349e-10	0.0641474569333421	2.22374515089933e-08	YES	Egg_WT - Oocyte_WT	Crumbs, isoform C OS=Drosophila melanogaster GN=crb PE=4 SV=1	cell differentiation;cell organization and biogenesis;cellular component movement;regulation of biological process;transport	membrane	metal ion binding;protein binding	Pf00008, Pf00054, Pf02210, Pf07645	42896	FBgn0259685	crb	3R	
A0A0B4K7Z5	0.0753949978006005	1.11252147166361	0.727577223868452	0.308490860550021	0.470848795518158	0.28024202677856	0.369900751826315	NO	Egg_WT - Oocyte_WT	Regulatory particle non-ATPase 6, isoform C OS=Drosophila melanogaster GN=Rpn6 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytosol;proteasome	protein binding;structural molecule activity	Pf01399	36638	FBgn0028689	Rpn6	2R	Proteasome
A0A0B4K812	0.25966438220572	2.86594536295673	2.44847230277566	0.028578340300479	0.0185370317130385	0.100784167196736	0.0548980656707865	NO	Egg_WT - Oocyte_WT	Lissencephaly-1 homolog OS=Drosophila melanogaster GN=Lis-1 PE=3 SV=1	cell differentiation;cell division;cell organization and biogenesis;cell proliferation;cellular component movement;cellular homeostasis;development;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytoskeleton;cytosol	catalytic activity;enzyme regulator activity;protein binding	Pf00400, Pf08513	36791	FBgn0015754	Lis-1	2R	Ether lipid metabolism; Metabolic pathways
A0A0B4K833	-0.203510467240303	-2.35268550389586	-1.92775703501289	0.0568493995297262	0.0605631130408804	0.130387710844007	0.115991252573991	NO	Egg_WT - Oocyte_WT	Calcineurin B2, isoform B OS=Drosophila melanogaster GN=CanB2 PE=4 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;transport		catalytic activity;enzyme regulator activity;metal ion binding;protein binding	Pf12763, Pf13405, Pf13499, Pf13833	46456	FBgn0015614	CanB2	2R	Wnt signaling pathway
A0A0B4K859	-0.003838791749736	-0.031976447385839	-0.0348695858559233	0.97552799661248	0.972346459228057	0.521666991514238	0.542790518788589	NO	Egg_WT - Oocyte_WT	CG8771, isoform C OS=Drosophila melanogaster GN=CG8771 PE=1 SV=1	cell organization and biogenesis;transport		structural molecule activity	Pf10487, Pf11894	36397	FBgn0033766	CG8771	2R	RNA transport
A0A0B4K863	0.373175007016892	4.10961084945288	3.51799980660123	0.00628910833518797	0.00104713974078141	0.0549216209059103	0.00683554769617213	NO	Egg_WT - Oocyte_WT	Centrosomin, isoform L OS=Drosophila melanogaster GN=cnn PE=1 SV=1	cell division;cell organization and biogenesis;regulation of biological process		protein binding	Pf07989	36491	FBgn0013765	cnn	2R	
A0A0B4K885	0.457761637856727	5.48314692041844	4.35025966866697	0.0015388814025566	8.31801081210799e-05	0.0269904646414081	0.000932031649107662	YES	Egg_WT - Oocyte_WT	Kenny, isoform B OS=Drosophila melanogaster GN=key PE=1 SV=1	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	metal ion binding;protein binding		37967	FBgn0041205	key	2R	
A0A0B4K8A5	0.09212719395207	0.882133112506864	0.8544007449461	0.411647713418481	0.397657930537541	0.325260908874831	0.337135539534918	NO	Egg_WT - Oocyte_WT	Mahjong, isoform B OS=Drosophila melanogaster GN=mahj PE=4 SV=1	metabolic process;regulation of biological process	nucleus	protein binding		37462	FBgn0034641	mahj	2R	
A0A0B4KEG0	0.512080433234857	5.15584330640334	4.77935355739107	0.00210323244426627	2.11103362572091e-05	0.0322371849910485	0.000297980153535947	YES	Egg_WT - Oocyte_WT	NAD kinase 2, mitochondrial OS=Drosophila melanogaster GN=CG8080 PE=1 SV=1	metabolic process	mitochondrion	catalytic activity;nucleotide binding;protein binding	Pf01513	35918	FBgn0033373	CG8080	2R	
A0A0B4KEH0	0.00115042894491424	0.0187006390097852	0.0111611363820512	0.985686278497224	0.991146944055128	0.523309649287513	0.545698468186013	NO	Egg_WT - Oocyte_WT	14-3-3zeta, isoform K OS=Drosophila melanogaster GN=14-3-3zeta PE=1 SV=1	cell differentiation;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;endosome;membrane;nucleus	enzyme regulator activity;protein binding	Pf00244	36059	FBgn0004907	14-3-3zeta	2R	MAPK signaling pathway - fly; Hippo signaling pathway - fly
A0A0B4KEJ0	-0.407590736759619	-7.14965589573942	-3.96840193986851	0.000377478383090335	0.000272499746339222	0.0112550186057924	0.00252064189013358	YES	Egg_WT - Oocyte_WT	Adh transcription factor 1, isoform E OS=Drosophila melanogaster GN=Adf1 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding	Pf10545, Pf13837	47082	FBgn0000054	Adf1	2R	
A0A0B4KEP5	0.0614314886436045	0.508399085112346	0.55740200763532	0.629319923769587	0.580167326922165	0.412143502417952	0.41585897619735	NO	Egg_WT - Oocyte_WT	Mitochondrial ribosomal protein S16, isoform B OS=Drosophila melanogaster GN=mRpS16 PE=4 SV=1	cell organization and biogenesis;metabolic process	mitochondrion;ribosome	structural molecule activity	Pf00886	36570	FBgn0033907	mRpS16	2R	Ribosome
A0A0B4KER0	-0.0267781347196632	-0.205361675474061	-0.239661027827236	0.844079671300208	0.811741400637466	0.486930579771013	0.497893999956767	NO	Egg_WT - Oocyte_WT	Relative of woc, isoform C OS=Drosophila melanogaster GN=row PE=1 SV=1	regulation of biological process	nucleus	metal ion binding;protein binding		36685	FBgn0033998	row	2R	
A0A0B4KET0	0.245143693135853	2.3734548287681	2.27679474803816	0.055259480429664	0.0278773833712182	0.128680349122911	0.0723997869999718	NO	Egg_WT - Oocyte_WT	CG9062, isoform C OS=Drosophila melanogaster GN=CG9062 PE=4 SV=1	metabolic process	nucleus	protein binding	Pf00400, Pf11816	36199	FBgn0033607	CG9062	2R	
A0A0B4KEU2	0.536100733313598	5.21646935877954	4.98229365955106	0.00198295244218095	1.09187534997566e-05	0.0317163725788824	0.000170754111902387	YES	Egg_WT - Oocyte_WT	Scribbler, isoform J OS=Drosophila melanogaster GN=sbb PE=1 SV=1	cell communication;cellular component movement;regulation of biological process;response to stimulus	nucleus	metal ion binding;protein binding		44027	FBgn0010575	sbb	2R	
A0A0B4KEU5	0.188749718937679	1.85968899688426	1.7569439482608	0.112272153786781	0.086106442427158	0.17109486411125	0.14201464921891	NO	Egg_WT - Oocyte_WT	Coronin OS=Drosophila melanogaster GN=coro PE=1 SV=1	cell organization and biogenesis;defense response;response to stimulus	cytoskeleton	protein binding	Pf00400, Pf08953, Pf08954	35596	FBgn0265935	coro	2R	
A0A0B4KEY4	0.121874026704273	1.07453793675334	1.11712488702564	0.323882492496877	0.27019615917196	0.285951363536545	0.272709895547028	NO	Egg_WT - Oocyte_WT	Patronin, isoform I OS=Drosophila melanogaster GN=Patronin PE=1 SV=1	cell organization and biogenesis;regulation of biological process		protein binding	Pf00307, Pf08683, Pf11971	36978	FBgn0263197	Patronin	2R	
A0A0B4KEZ6	0.357862479051248	4.57607983160804	3.41949323214075	0.0037861311665259	0.00139281589277243	0.0410973933318573	0.00850465351892333	NO	Egg_WT - Oocyte_WT	Multiple C2 domain and transmembrane region protein, isoform D OS=Drosophila melanogaster GN=Mctp PE=4 SV=1	regulation of biological process;response to stimulus	membrane	metal ion binding;protein binding	Pf00168	37165	FBgn0034389	Mctp	2R	
A0A0B4KF25	0.0277801511805222	0.284499039561754	0.259803649781301	0.785591844773043	0.796265608537289	0.467760899824072	0.494762974355447	NO	Egg_WT - Oocyte_WT	Reduction in Cnn dots 1, isoform E OS=Drosophila melanogaster GN=Rcd1 PE=1 SV=1	cell organization and biogenesis;regulation of biological process;response to stimulus	nucleus	catalytic activity	Pf12695	36560	FBgn0033897	Rcd1	2R	
A0A0B4KF31	0.0919876157737693	1.07271778366076	0.872065532111037	0.324635714270905	0.388056744775295	0.286011441464231	0.333775831208567	NO	Egg_WT - Oocyte_WT	Asrij, isoform B OS=Drosophila melanogaster GN=asrij PE=4 SV=1	regulation of biological process	endosome;Golgi;vacuole		Pf07051	37637	FBgn0034793	asrij	2R	
A0A0B4KF34	0.308119389528445	2.07284526099715	2.68173884166673	0.0835578287822916	0.0103748359674646	0.150288673346716	0.0377402655332992	NO	Egg_WT - Oocyte_WT	CG31550, isoform D OS=Drosophila melanogaster GN=CG31550 PE=1 SV=1	metabolic process		protein binding;RNA binding	Pf01585, Pf12656	40661	FBgn0051550	CG31550	3R	
A0A0B4KF69	0.0274418850129248	0.226327561127959	0.248850573876319	0.828459955853753	0.804671116615531	0.482184679431732	0.496296029049633	NO	Egg_WT - Oocyte_WT	SRPK, isoform D OS=Drosophila melanogaster GN=SRPK PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	catalytic activity;enzyme regulator activity;nucleotide binding;receptor activity;signal transducer activity	Pf00069, Pf07714	36706	FBgn0026370	SRPK	2R	
A0A0B4KF86	-0.108615358110341	-0.894616324806801	-0.984730806572003	0.405447391383039	0.330311174107672	0.323110583294648	0.306191639378861	NO	Egg_WT - Oocyte_WT	Autophagy-specific gene 9, isoform B OS=Drosophila melanogaster GN=Atg9 PE=1 SV=1	cell communication;cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;Golgi;membrane;vacuole		Pf04109	36821	FBgn0034110	Atg9	2R	
A0A0B4KFA6	-0.364041410278553	-3.66601511900531	-3.39775195416826	0.0105039409545849	0.00148260554604493	0.0690734517416728	0.00890286851128211	NO	Egg_WT - Oocyte_WT	CD98 heavy chain, isoform D OS=Drosophila melanogaster GN=CD98hc PE=1 SV=1	metabolic process;transport	membrane	catalytic activity	Pf00128	40941	FBgn0037533	CD98hc	3R	
A0A0B4KFB8	0.0696301707116262	0.94151747884998	0.668118733722585	0.382784563502837	0.50765838246894	0.31391986594555	0.385445627168173	NO	Egg_WT - Oocyte_WT	CG42724, isoform C OS=Drosophila melanogaster GN=CG42724 PE=1 SV=1	metabolic process	spliceosomal complex	protein binding	Pf00397, Pf01846	40785	FBgn0261641	CG42724	3R	
